,component,feature,axis
0,0.4267181600031547,qSigmaIPhi_3,1
1,0.24754810157810994,qpVtxChi2_2,1
2,0.2438239073944662,qpVtxX__5,1
3,0.20405877742060305,qpVtxChi2_3,1
4,0.17093336318016655,qSigmaIPhi_0,1
5,0.16158659561620597,qpVtxX__6,1
6,0.16008156403916438,qpVtxY__6,1
7,0.1582627535916625,qSigmaIEta_3,1
8,0.1439815894758422,qecEn_4,1
9,0.14232642727306416,qSigmaIEta_0,1
10,0.13853524229705855,qGsfN_0,1
11,0.1285641517102802,qpVtxX__4,1
12,0.1282741136059583,qpVtxY__5,1
13,0.12121048538908512,qpVtxChi2_6,1
14,0.12059234196797215,qecEn_3,1
15,0.11942327027164931,qgedPhoe3x3__2,1
16,0.11726541653869964,qSigmaIEta_5,1
17,0.11202495412015318,qgedPhoe1x5__2,1
18,0.10985530183114398,qSigmaIEta_4,1
19,0.10655280921614259,qSigmaIEta_2,1
20,0.103374166529849,qgedPhoe3x3__3,1
21,0.10165955803371989,qGsfEta_1,1
22,0.09981942906633129,qSigmaIPhi_4,1
23,0.09964762537487015,qgedPhoEn__2,1
24,0.0974771809243042,qgedPhoPt_2,1
25,0.09679101769832878,qgedPhoe1x5__3,1
26,0.0953519662367307,qgedPhoPt_0,1
27,0.09330987302902823,qecEn_5,1
28,0.09042331447394275,qgedPhoEn__3,1
29,0.09025359509758234,qSigmaIPhi_5,1
30,0.09010778457638177,qpVtxNtr_1,1
31,0.08816245693751083,qpVtxX__2,1
32,0.08752830093855599,qgedPhoEn__0,1
33,0.08663263886908654,qecEn_0,1
34,0.08575527827991788,qgedPhoPt_3,1
35,0.08212195133411367,qpVtxX__0,1
36,0.08166274679869746,qgedPhoe3x3__0,1
37,0.0784371340414568,qpVtxY__1,1
38,0.07755493288701662,qpVtxX__1,1
39,0.07685211545637276,qpVtxY__2,1
40,0.07676609481060008,qGsfEta_4,1
41,0.07501003006434187,qpVtxChi2_5,1
42,0.07419500009932196,qecEn_2,1
43,0.07413759793626264,qGsfN_3,1
44,0.07200154297225794,qpVtxNtr_6,1
45,0.07094906217678851,qgedPhoe1x5__0,1
46,0.06839147833444185,qpVtxNtr_0,1
47,0.06450067665328588,qpVtxNtr_3,1
48,0.06449652524871079,qSigmaIPhi_6,1
49,0.06385066037914248,qPUEvt__6,1
50,0.0637344337106998,qPUEvt__5,1
51,0.06357183537646624,qgedPhoPt_5,1
52,0.0631993957679262,qPUEvt__0,1
53,0.062282007064467425,qPUEvt__4,1
54,0.06226264546082546,qeSCOP_5,1
55,0.061969704447384116,qPUEvt__2,1
56,0.06191934623713259,qPUEvt__3,1
57,0.06122440860568799,qGsfN_5,1
58,0.060654115080518885,qdrSumEt_3,1
59,0.05995542178164599,qGsfPt_0,1
60,0.057717744844625676,qdrSumEt_4,1
61,0.056735752581807,qpVtxY__4,1
62,0.05585560568269078,qgedPhoEn__4,1
63,0.05560664731219811,qGsfEta_3,1
64,0.055103764066695135,qgedPhoEn__5,1
65,0.05395548248692379,qpVtxNtr_5,1
66,0.053934645448458794,qgedPhoe1x5__4,1
67,0.053487957144873206,qgedPhoPt_6,1
68,0.05317615187510347,qGsfPt_4,1
69,0.05259525626156004,qGsfEta_5,1
70,0.05250595409165102,qHadOEm_3,1
71,0.05233048315972633,qgedPhoe3x3__4,1
72,0.05165114184010477,qGsfPt_3,1
73,0.051065708089664257,qGsfN_1,1
74,0.04973127381536806,qdrSumEt_5,1
75,0.04903408966727656,qlumiEvt_0,1
76,0.04900440246347541,qlumiEvt_6,1
77,0.04898882220916204,qlumiEvt_4,1
78,0.04891079216820478,qlumiEvt_5,1
79,0.04887095898881083,qpVtxY__0,1
80,0.04874466732106034,qlumiEvt_3,1
81,0.04867983426728813,qpVtxNtr_4,1
82,0.04861631878674111,qgedPhoEn__6,1
83,0.048464779871378184,qlumiEvt_2,1
84,0.04834083115584042,qGsfN_4,1
85,0.0479135476500883,qeSCOP_4,1
86,0.046693532692179344,qGsfN_6,1
87,0.04650636920311635,qgedPhoe3x3__5,1
88,0.04608669971246569,qPhoN_3,1
89,0.04529156759335771,qSigmaIEta_6,1
90,0.04120634965733658,qGsfPt_6,1
91,0.04082088337278778,qdrSumEt_2,1
92,0.04080382294516239,qeSCOP_3,1
93,0.04065830318655948,qdrSumPt_4,1
94,0.03971793583755324,qr9_0,1
95,0.03971778770316319,qdrSumPt_5,1
96,0.03939070801804743,qgedPhoPt_4,1
97,0.039163717559126426,qGsfEta_0,1
98,0.03899285008257427,qGsfPt_5,1
99,0.03817451964002358,qgedPhoe1x5__5,1
100,0.03473647445451223,qdrSumEt_0,1
101,0.0333675687802026,qr9_1,1
102,0.03303222797153121,qecEn_6,1
103,0.032284502615387484,qr9_2,1
104,0.031616505641843054,qPhoN_5,1
105,0.031432801571766866,qgedPhoe3x3__6,1
106,0.03078138400369554,qeSCOP_6,1
107,0.03068786918529182,qdrSumPt_6,1
108,0.02670929397586306,qGsfPt_2,1
109,0.02660136851700375,qPhoN_6,1
110,0.02515314562395839,qgedPhoe1x5__6,1
111,0.025051005125693186,qr9_3,1
112,0.024411472378378256,qGsfPhi_4,1
113,0.023225675903061533,qpVtxNtr_2,1
114,0.020730734469696085,qr9_4,1
115,0.01978565419037229,qHadOEm_5,1
116,0.01955868483683854,qr9_5,1
117,0.01928026585673871,qSigmaIPhi_2,1
118,0.018952296631156287,qPhoN_1,1
119,0.018464740394111417,qpVtxChi2_4,1
120,0.017953252017799185,qPhoN_0,1
121,0.017659516109410033,qpVtxY__3,1
122,0.016451038185522765,qSigmaIEta_1,1
123,0.01634788161878816,qGsfPhi_1,1
124,0.013737401636326113,qpVtxZ__1,1
125,0.01336885599360581,qGsfPhi_6,1
126,0.012811026544388126,qdrSumEt_6,1
127,0.012571571437688913,qeSCOP_0,1
128,0.010669521946993756,qHadOEm_6,1
129,0.01016462565018986,qHadOEm_4,1
130,0.009222505376677145,qGsfPhi_3,1
131,0.0068304196697180925,qgedPhoEta_2,1
132,0.006709628428088665,qGsfPhi_5,1
133,0.006087750312398362,qeSCOP_2,1
134,0.006083651466892552,qGsfEta_2,1
135,0.005817529321063085,qpVtxZ__2,1
136,0.005607995340188841,qgedPhoEta_5,1
137,0.005403399374105128,qgedPhoe1x5__1,1
138,0.005301581435578661,qr9_6,1
139,0.005035463915278384,qpVtxX__3,1
140,0.005014521052829878,qgedPhoEta_0,1
141,0.004872923647419127,qPhoN_2,1
142,0.004782699546234367,qpVtxZ__3,1
143,0.004462044820995495,qgedPhoe3x3__1,1
144,0.004340470088980346,qpVtxZ__0,1
145,0.004286183313534837,qpVtxZ__4,1
146,0.00424160904737832,qGsfEta_6,1
147,0.003874179149385933,qgedPhoEta_4,1
148,0.003750532327382558,qpVtxZ__5,1
149,0.0037412489277104644,qgedPhoEta_1,1
150,0.0036923362151550987,qGsfPhi_0,1
151,0.003639073926172685,qHadOEm_0,1
152,0.0031624072734207235,qGsfPhi_2,1
153,0.0031299908858295256,qSigmaIPhi_1,1
154,0.0030886601037214204,qgedPhoPt_1,1
155,0.0028849034967076497,qpVtxZ__6,1
156,0.0023384362984884043,qecEn_1,1
157,0.0018715430320938623,qGsfN_2,1
158,0.0017555245542602831,qgedPhoEta_3,1
159,0.0017057168616804264,qeSCOP_1,1
160,0.0016679095076643491,qgedPhoEn__1,1
161,0.001142528135456858,qgedPhoEta_6,1
162,0.0010726073740393392,qGsfPt_1,1
163,0.0007589898801535029,qgedPhoPhi_5,1
164,0.0007440783715887864,qgedPhoPhi_6,1
165,0.000727644142874169,qHadOEm_1,1
166,0.0007181517450978047,qdrSumEt_1,1
167,0.0003864281002886645,qlumiEvt_1,1
168,0.0003611612231479593,qPUEvt__1,1
169,0.00028057792318611,qpVtxChi2_0,1
170,0.0002504203867517965,qpVtxChi2_1,1
171,0.0002469650413076222,qgedPhoPhi_2,1
172,0.00023635874616070808,qgedPhoPhi_4,1
173,0.00017774488418098656,qdrSumPt_3,1
174,0.0001416915875847279,qgedPhoPhi_1,1
175,0.00012300517334559442,qgedPhoPhi_3,1
176,0.00011421721906819252,qgedPhoPhi_0,1
177,4.995251050945711e-05,qPhoN_4,1
178,2.5591367585207023e-05,qdrSumPt_0,1
179,2.5215293742784364e-05,qHadOEm_2,1
180,5.0898197537111315e-06,qdrSumPt_1,1
181,0.0,qdrSumPt_2,1
182,0.2774760484498052,qSigmaIEta_2,2
183,0.19742587044361798,qSigmaIPhi_2,2
184,0.17230824317141868,qpVtxChi2_6,2
185,0.16557335986958757,qpVtxY__1,2
186,0.16089851832179936,qpVtxChi2_5,2
187,0.15834211910955634,qPUEvt__6,2
188,0.15805206878393116,qpVtxX__1,2
189,0.15798420942267613,qPUEvt__5,2
190,0.15622930085628184,qPUEvt__0,2
191,0.15616748402461597,qHadOEm_4,2
192,0.15432366620989815,qPUEvt__4,2
193,0.15301246757596462,qPUEvt__3,2
194,0.15209649924607158,qPUEvt__2,2
195,0.13822161734659008,qlumiEvt_6,2
196,0.13802857531482782,qpVtxX__2,2
197,0.13795485887483272,qlumiEvt_4,2
198,0.13783525653991244,qlumiEvt_5,2
199,0.13771225685359653,qlumiEvt_0,2
200,0.1368020848671397,qlumiEvt_3,2
201,0.13661361569157346,qecEn_3,2
202,0.13536156582093922,qpVtxY__2,2
203,0.13534722237353727,qpVtxNtr_1,2
204,0.13491450397175964,qlumiEvt_2,2
205,0.13255086954648704,qpVtxNtr_2,2
206,0.13184503399091924,qpVtxX__6,2
207,0.13097322592756477,qHadOEm_5,2
208,0.12699370735643636,qSigmaIPhi_3,2
209,0.12423974353504927,qGsfPt_4,2
210,0.11737743378345411,qpVtxY__3,2
211,0.11678233291116452,qpVtxNtr_6,2
212,0.11406904353248074,qpVtxX__3,2
213,0.10956022265635651,qGsfPt_0,2
214,0.10802518042918641,qpVtxChi2_4,2
215,0.10791785084262157,qGsfPt_3,2
216,0.10767184119903003,qpVtxNtr_0,2
217,0.10663938813076808,qpVtxY__6,2
218,0.10484556103004769,qpVtxNtr_3,2
219,0.10214195453357823,qpVtxX__5,2
220,0.10068750379515658,qgedPhoe3x3__3,2
221,0.09435620693955461,qeSCOP_2,2
222,0.09310708653421879,qpVtxChi2_2,2
223,0.09220319269755196,qpVtxNtr_5,2
224,0.09083398144078826,qgedPhoe1x5__3,2
225,0.09065076101313913,qgedPhoPt_3,2
226,0.08884038044528442,qgedPhoEn__3,2
227,0.0845905736025101,qHadOEm_6,2
228,0.07935967433823075,qecEn_5,2
229,0.07809148020912278,qpVtxNtr_4,2
230,0.07346587819896237,qGsfPt_5,2
231,0.07075099992795932,qSigmaIEta_3,2
232,0.06982501012114443,qgedPhoPt_0,2
233,0.06917323134084759,qdrSumPt_5,2
234,0.06808896733709105,qgedPhoEn__0,2
235,0.06779403837030215,qpVtxY__4,2
236,0.06775398990689473,qPhoN_0,2
237,0.06641410062356275,qdrSumPt_4,2
238,0.06458552215625654,qSigmaIEta_1,2
239,0.06193762163829769,qgedPhoEn__5,2
240,0.060681942725297144,qGsfEta_1,2
241,0.06066318380733609,qecEn_0,2
242,0.06050116048054407,qdrSumEt_4,2
243,0.060486500650997865,qdrSumEt_3,2
244,0.05954362123800724,qGsfPt_2,2
245,0.05757446207540241,qpVtxY__0,2
246,0.05755364680470204,qgedPhoe3x3__0,2
247,0.05559029725659138,qdrSumPt_6,2
248,0.05544344060642679,qgedPhoe1x5__4,2
249,0.054024456353750715,qHadOEm_3,2
250,0.053994363486415405,qgedPhoPt_4,2
251,0.05373225138895943,qGsfPt_6,2
252,0.052411965859534955,qgedPhoEn__4,2
253,0.050352429054931765,qgedPhoe1x5__0,2
254,0.04862648154245249,qgedPhoe3x3__4,2
255,0.04849860195459537,qecEn_4,2
256,0.04797680593521427,qGsfEta_5,2
257,0.04779792249567881,qPhoN_6,2
258,0.04457926263764462,qgedPhoPt_5,2
259,0.04421063144570939,qgedPhoe3x3__5,2
260,0.043182111627496786,qSigmaIEta_6,2
261,0.04106415090820652,qeSCOP_0,2
262,0.039880395004234764,qPhoN_1,2
263,0.03925763711650184,qgedPhoPt_6,2
264,0.038278002410866686,qGsfN_3,2
265,0.03776545418295948,qgedPhoEn__6,2
266,0.035683354663218675,qSigmaIEta_4,2
267,0.03542239123633167,qgedPhoe1x5__5,2
268,0.03468734770424436,qGsfN_0,2
269,0.03445355200662428,qGsfEta_4,2
270,0.03351951611525544,qr9_5,2
271,0.033117761251225064,qdrSumEt_2,2
272,0.032754328940891496,qdrSumEt_5,2
273,0.031814078608571765,qGsfEta_3,2
274,0.031189768437176107,qeSCOP_6,2
275,0.030165938904622776,qSigmaIPhi_1,2
276,0.03004006302088981,qecEn_2,2
277,0.028530465770755093,qSigmaIPhi_4,2
278,0.026100152132817432,qHadOEm_0,2
279,0.024954635121520956,qPhoN_3,2
280,0.02270714870225916,qdrSumEt_6,2
281,0.022693711256241277,qgedPhoe3x3__6,2
282,0.02189799391138696,qeSCOP_5,2
283,0.021546318525929958,qGsfN_5,2
284,0.02119731313264078,qPhoN_5,2
285,0.021187497404399045,qSigmaIEta_5,2
286,0.02083988547413605,qeSCOP_4,2
287,0.020783996014632152,qGsfN_1,2
288,0.02060905988159405,qecEn_6,2
289,0.019436854510687815,qgedPhoe1x5__6,2
290,0.01858278312943749,qGsfN_6,2
291,0.01570083098892772,qpVtxZ__1,2
292,0.015489602381128979,qGsfN_4,2
293,0.015069136066045326,qGsfEta_2,2
294,0.014635241754831347,qSigmaIEta_0,2
295,0.014344459524885948,qdrSumEt_0,2
296,0.013936846112621967,qr9_0,2
297,0.01195458457184598,qGsfPhi_4,2
298,0.010151796919045546,qgedPhoEn__2,2
299,0.009968856529099013,qpVtxChi2_3,2
300,0.00920986988021595,qgedPhoe3x3__2,2
301,0.007768832014935176,qGsfPhi_6,2
302,0.007452095548172168,qGsfEta_0,2
303,0.007189095826714836,qpVtxX__0,2
304,0.006905697318190955,qSigmaIPhi_0,2
305,0.006591404604502196,qGsfPhi_1,2
306,0.006497987459338135,qpVtxX__4,2
307,0.006313626658011123,qgedPhoEta_2,2
308,0.006237050729142791,qr9_1,2
309,0.005704186596461006,qeSCOP_1,2
310,0.00516372548601847,qr9_6,2
311,0.004446920802271157,qGsfN_2,2
312,0.0044408644167005075,qGsfPhi_3,2
313,0.004232016657749931,qgedPhoe1x5__2,2
314,0.0039046846471530836,qSigmaIPhi_5,2
315,0.0037920261954177974,qgedPhoPt_2,2
316,0.0037891787575783827,qPhoN_4,2
317,0.0032726178195542394,qr9_2,2
318,0.002753598139125468,qSigmaIPhi_6,2
319,0.0026576043763246963,qGsfPhi_5,2
320,0.002545014355233577,qpVtxZ__2,2
321,0.002536707395645626,qGsfPhi_2,2
322,0.0023819120887849155,qpVtxZ__5,2
323,0.002178136220874226,qecEn_1,2
324,0.0020547128121504777,qpVtxZ__0,2
325,0.0019931178804130493,qgedPhoEta_1,2
326,0.0019389326959518653,qgedPhoEta_0,2
327,0.00189089968611186,qpVtxZ__4,2
328,0.0017671695094432624,qgedPhoEta_4,2
329,0.0017566001233814985,qr9_4,2
330,0.00171413333000405,qpVtxZ__6,2
331,0.0016998836338426768,qgedPhoe1x5__1,2
332,0.0016409359581892138,qGsfPhi_0,2
333,0.0016389781535784062,qgedPhoPt_1,2
334,0.0016210735900712297,qdrSumEt_1,2
335,0.0015797330458071082,qgedPhoEta_3,2
336,0.0015764068764425303,qGsfPt_1,2
337,0.0015280140629645536,qpVtxZ__3,2
338,0.0014366701351332925,qgedPhoe3x3__1,2
339,0.0013985259402264946,qpVtxY__5,2
340,0.0011630811579226115,qPhoN_2,2
341,0.0011173465365747848,qGsfEta_6,2
342,0.0010705019305257163,qlumiEvt_1,2
343,0.0010003419055248795,qPUEvt__1,2
344,0.0008925054329517224,qr9_3,2
345,0.0008622776124669603,qgedPhoPhi_5,2
346,0.0008475683571130511,qgedPhoPhi_3,2
347,0.0007645557136880921,qgedPhoEn__1,2
348,0.0007213443181605607,qpVtxChi2_1,2
349,0.0007064907224123572,qpVtxChi2_0,2
350,0.0006079906295996675,qgedPhoPhi_6,2
351,0.0005175178872244396,qeSCOP_3,2
352,0.0004956621692710812,qgedPhoEta_5,2
353,0.00045326528827879835,qgedPhoEta_6,2
354,0.0003891569027414229,qgedPhoPhi_0,2
355,0.0003728527278705867,qgedPhoPhi_1,2
356,0.00033790160210643675,qgedPhoPhi_2,2
357,0.0003048115508288955,qdrSumPt_3,2
358,0.00021483353605861684,qHadOEm_1,2
359,7.91980138701841e-05,qgedPhoPhi_4,2
360,4.0109010191397204e-05,qdrSumPt_0,2
361,1.9284560362886376e-05,qdrSumPt_1,2
362,1.7596707220760133e-05,qHadOEm_2,2
363,0.0,qdrSumPt_2,2
